CONTACTID,CUSTOMERID,CUSTOMERNAME,PHONE
94130,82825,Land of Toys Inc.,2125557818
94131,82826,Reims Collectables,26471555
94132,82827,Lyon Souveniers,33146627555
94133,82828,Toys4GrownUps.com,6265557265
94134,82829,Corporate Gift Ideas Co.,6505551386
94135,82830,Technics Stores Inc.,6505556809
94136,82831,Daedalus Designs Imports,20161555
94137,82832,Herkku Gifts,4722673215
94138,82833,Mini Wheels Co.,6505555787
94139,82834,Auto Canal Petit,147556555
94140,82835,"Australian Collectors, Co.",395204555
94141,82836,Vitachrome Inc.,2125551500
94142,82837,Tekni Collectables Inc.,2015559350
94143,82838,Gift Depot Inc.,2035552570
94144,82839,La Rochelle Gifts,40678555
94145,82840,Marta's Replicas Co.,6175558555
94146,82841,"Toys of Finland, Co.",902248555
94147,82842,Baane Mini Imports,7989555
94148,82843,Diecast Classics Inc.,2155551555
94149,82844,Salzburg Collectables,65629555
94150,82845,Souveniers And Things Co.,61294958555
94151,82846,FunGiftIdeas.com,5085552555
94152,82847,"UK Collectables, Ltd.",1715552282
94153,82848,Euro Shopping Channel,915559444
94154,82849,"Volvo Model Replicas, Co",921123555
94155,82850,"Corrida Auto Replicas, Ltd",915552282
94156,82851,"Dragon Souveniers, Ltd.",652217555
94157,82852,Classic Legends Inc.,2125558493
94158,82853,"Australian Gift Network, Co",61738446555
94159,82854,"Classic Gift Ideas, Inc",2155554695
94160,82855,"Saveley & Henriot, Co.",78325555
94161,82856,Canadian Gift Exchange Network,6045553392
94162,82857,West Coast Collectables Co.,3105553722
94163,82858,Cambridge Collectables Co.,6175555555
94164,82859,Super Scale Inc.,2035559545
94165,82860,"Tokyo Collectables, Ltd",81335840555
94166,82861,Amica Models & Co.,114988555
94167,82862,Scandinavian Gift Ideas,695346555
94168,82863,Auto Assoc. & Cie.,30598555
94169,82864,Mini Gifts Distributors Ltd.,4155551450
94170,82865,Online Diecast Creations Co.,6035558647
94171,82866,Collectables For Less Inc.,6175558555
94172,82867,"Anna's Decorations, Ltd",299368555
94173,82868,Quebec Home Shopping Network,5145558054
94174,82869,Osaka Souveniers Co.,810663425555
94175,82870,Motor Mint Distributors Inc.,2155559857
94176,82871,Atelier graphique,40322555
94177,82872,Mini Classics,9145554562
94178,82873,Danish Wholesale Imports,31123555
94179,82874,"Stylish Desk Decors, Co.",1715550297
94180,82875,Mini Creations Ltd.,5085559555
94181,82876,Alpha Cognac,61776555
94182,82877,"Double Decker Gift Stores, Ltd",1715557555
94183,82878,Enaco Distributors,932034555
94184,82879,"Men 'R' US Retailers, Ltd.",2155554369
94185,82880,Collectable Mini Designs Co.,7605558146
94186,82881,Petit Auto,2555467
94187,82882,"Royal Canadian Collectables, Ltd.",6045554555
94188,82883,Gifts4AllAges.com,6175559555
94189,82884,giftsbymail.co.uk,1985558888
94190,82885,"Oulu Toy Supplies, Inc.",981443655
94191,82886,The Sharp Gifts Warehouse,4085553659
94192,82887,"La Corne D'abondance, Co.",142342555
94193,82888,Mini Auto Werke,76753555
94194,82889,Diecast Collectables,6175552555
94195,82890,Handji Gifts& Co,652241555
94196,82891,Cruz & Sons Co.,6325553587
94197,82892,Marseille Mini Autos,91244555
94198,82893,"Toms Spezialitten, Ltd",2215554327
94199,82894,"Vida Sport, Ltd",897034555
94200,82895,L'ordine Souveniers,522556555
94201,82896,Online Mini Collectables,6175557555
94202,82897,"Blauer See Auto, Co.",496966902555
94203,82898,Suominen Souveniers,35898045555
94204,82899,Muscle Machine Inc,2125557413
94205,82900,"Clover Collections, Co.",35318621555
94206,82901,CAF Imports,34913728555
94207,82902,"AV Stores, Co.",1715551555
94208,82903,Heintze Collectables,86213555
94209,82904,Microscale Inc.,2125551957
94210,82905,Boards & Toys Co.,3105552373
94211,82906,"Iberia Gift Imports, Corp.",955558282
94212,82907,Signal Collectibles Ltd.,4155554312
94213,82908,Mini Caravy,88601555
94214,82909,Signal Gift Stores,7025551838
94215,82910,"Norway Gifts By Mail, Co.",4722121555
94216,82911,Rovelli Gifts,35640555
94217,82912,"Australian Collectables, Ltd",61938446555
94218,82913,Gift Ideas Corp.,2035554407
94219,82914,"Bavarian Collectables Imports, Co.",498961089555
94220,82915,Royale Belge,7123672555
94221,82916,Auto-Moto Classics Inc.,6175558428
