ORDERNUMBER,PRICEEACH,SALES,STATUS,MONTH_ID,PRODUCTCODE,CUSTOMERID,ADDRESSID
10107,95.7,2871,1,5900,S10_1678,82825,85650
10121,81.35,2765.9,1,5901,S10_1678,82826,85651
10134,94.74,3884.34,1,5902,S10_1678,82827,85652
10145,83.26,3746.7,1,5903,S10_1678,82828,85653
10159,100,5205.27,1,5904,S10_1678,82829,85654
10168,96.66,3479.76,1,5904,S10_1678,82830,85655
10180,86.13,2497.77,1,5905,S10_1678,82831,85656
10188,100,5512.32,1,5905,S10_1678,82832,85657
10201,98.57,2168.54,1,5906,S10_1678,82833,OTHERS
10211,100,4708.44,1,5907,S10_1678,82834,85658
10223,100,3965.66,1,5900,S10_1678,82835,85659
10237,100,2333.12,1,5908,S10_1678,82836,OTHERS
10251,100,3188.64,1,5901,S10_1678,82837,85660
10263,100,3676.76,1,5909,S10_1678,82838,85661
10275,92.83,4177.35,1,5902,S10_1678,82839,85662
10285,100,4099.68,1,5903,S10_1678,82840,85663
10299,100,2597.39,1,5910,S10_1678,82841,85664
10309,100,4394.38,1,5904,S10_1678,82842,85665
10318,94.74,4358.04,1,5905,S10_1678,82843,85666
10329,100,4396.14,1,5905,S10_1678,82825,85650
10341,100,7737.93,1,5905,S10_1678,82844,85667
10361,72.55,1451,1,5906,S10_1678,82845,85668
10375,34.91,733.11,1,5900,S10_1678,82839,85662
10388,76.36,3207.12,1,5911,S10_1678,82846,85669
10403,100,2434.56,1,5908,S10_1678,82847,85670
10417,100,7516.08,2,5901,S10_1678,82848,85671
10103,100,5404.62,1,5907,S10_1949,82842,85665
10112,100,7209.11,1,5911,S10_1949,82849,OTHERS
10126,100,7329.06,1,5901,S10_1949,82850,85673
10140,100,7374.1,1,5902,S10_1949,82830,85655
10150,100,10993.5,1,5910,S10_1949,82851,85674
10163,100,4860.24,1,5904,S10_1949,82852,OTHERS
10174,100,8014.82,1,5905,S10_1949,82853,85675
10183,100,5372.57,1,5905,S10_1949,82854,85676
